Timestamp,Please enter your voter ID,"Should ""City Sidewalk"" be added to the wallpaper collection?",Should amendment 1.3.1 be passed?
09/07/2014 14:59:47,6ff6e9,No,Yes
09/07/2014 15:13:34,BE5196,Yes,Yes
09/07/2014 15:14:50,BE5196,Yes,Yes
09/07/2014 15:53:42,6F87B3,No,Abstain
09/07/2014 16:22:11,F6F92B,Yes,No
09/07/2014 16:27:54,62D3B5 ,Yes,Yes
09/07/2014 18:10:19,6905A6,No,Yes
10/07/2014 18:22:27,0C7400,No,Abstain
11/07/2014 08:35:28,525418,No,Abstain
12/07/2014 17:06:52,53C8A5,Yes,Yes
12/07/2014 17:29:24,11976D,No,Yes
