"Timestamp","Should ""City Sidewalk"" be added to the wallpaper collection?","Please enter your voter ID"
"2014/07/01 5:06:24 pm CET","Yes","D3F66D"
"2014/07/01 5:08:52 pm CET","No","215080"
"2014/07/01 5:16:19 pm CET","No","FF66FE"
"2014/07/01 5:22:19 pm CET","Yes","B21F8E"
"2014/07/01 7:10:35 pm CET","Yes","707CA8"
"2014/07/01 10:29:29 pm CET","No","309099"
"2014/07/02 1:54:39 pm CET","Yes","12A2E0"
"2014/07/02 2:41:07 pm CET","No","223714"
"2014/07/02 4:59:36 pm CET","No","EBDD11"
"2014/07/02 8:49:01 pm CET","Yes","DDD175 "
