"Timestamp","Please enter your voter ID","Should ""City Sidewalk"" be added to the wallpaper collection?","Should ""Country Grass"" be added to the wallpaper collection?","Should branded Mozilla icons be the default?"
"2014/07/06 12:56:53 pm CET","86E0D2 ","Yes","Yes","Yes"
"2014/07/06 1:22:26 pm CET","3989B1","Yes","No","Yes"
"2014/07/06 1:26:33 pm CET","9BD43F","No","Yes","Yes"
"2014/07/06 3:02:43 pm CET","B09ECF ","Yes","Yes","Yes"
"2014/07/06 3:53:39 pm CET","A9CBE7","No","No","Yes"
"2014/07/06 10:16:09 pm CET","BF8ED5","No","Yes","Yes"
"2014/07/07 8:27:00 am CET","11976D","No","No","Abstain"
"2014/07/07 5:07:31 pm CET","BC2EC0","Yes","Yes","Yes"
"2014/07/07 5:42:53 pm CET","DE8C65","No","No","No"
"2014/07/07 6:05:32 pm CET","A5A229","Yes","Yes","Yes"
"2014/07/08 11:38:00 pm CET","19F0B3","No","Yes","Yes"
